,gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
0,2019-07-24 13:46:24.900,151.2,22.736428499286557,1.9462047917812648,1.9748426087582367,0.13218892716496802,401.2682294983146,407.6352866086385,0.4688822947358096,146.0,50.455963936762025,15614.140422332648,1.2,17.0,43.66118166666666,-79.39885,1004.6,9.869653783071737,24.624392055476285,0.0,21.528225346726774,21.6,282.6,269.8,3.0,6.6
1,2019-07-24 13:46:25.900,150.5,22.74392358310349,1.946179334022608,1.9764474737413416,0.34062921442301514,401.1988144151269,407.12973869796866,0.0,149.1,50.48583918077897,15666.136913126376,1.2,17.2,43.66118166666666,-79.39885333333334,1004.6,9.868543947453087,24.625341752658514,0.0,21.529601460548765,21.6,283.2,264.3,3.8,7.4
2,2019-07-24 13:46:26.900,149.8,22.74802123459412,1.9477421605397116,1.9807071843054085,0.12496920810803908,401.07449080842486,407.01604899099607,0.0,153.6,50.502786405888536,15473.364075350903,1.2,17.0,43.661183333333334,-79.39885500000003,1004.4,9.865629860036858,24.62746164612549,0.0,21.53129463651602,21.7,273.7,252.0,3.1,5.4
3,2019-07-24 13:46:27.900,149.1,22.752178320954986,1.9466718710046007,1.9779664182458905,0.0,401.11240849745917,406.502716178751,0.017969753272497238,150.9,50.45657320203265,15747.032814017111,1.2,17.1,43.661185,-79.39885833333334,1004.5,9.867443793186396,24.624038520612203,0.0,21.531646736626872,21.7,264.4,246.9,2.4,4.6
4,2019-07-24 13:46:28.900,148.5,22.758576593200694,1.942652676429265,1.979437274936708,0.08208494522700925,400.0699123647188,407.33106891514313,0.1567144737196288,155.4,50.50737291743695,15666.613564556998,1.2,17.2,43.66118666666666,-79.39886166666666,1004.6,9.868084164213693,24.62717203436629,0.1,21.532655318640142,21.7,276.5,254.3,2.2,4.5
5,2019-07-24 13:46:29.900,148.0,22.76358615664679,1.9424610777165905,1.9813216043377655,0.2129714930950508,401.35064754016054,407.16235102982114,0.16196058683162518,149.7,50.51265163501529,15584.593507870644,1.2,17.2,43.66118833333334,-79.39886333333334,1004.5,9.86839773657714,24.63172967299694,0.0,21.532608790875386,21.7,271.5,256.0,2.5,4.8
6,2019-07-24 13:46:30.900,147.5,22.76876726652605,1.9468213172722624,1.977407880805951,0.050745201040052174,401.6820941150952,407.13562199541695,0.06880424474471562,153.9,50.43306967161476,15619.48362446205,1.2,17.2,43.66119000000001,-79.39886666666666,1004.5,9.86906896887014,24.62777956929464,0.0,21.53408046908373,21.7,269.7,248.4,2.7,5.5
7,2019-07-24 13:46:31.900,147.0,22.772272163765297,1.9425440019653972,1.9800262020713943,0.364907498053092,401.0332374210228,407.8922087048166,0.4370012613521797,153.3,50.526227671979505,15589.061574662808,1.2,17.0,43.66119166666667,-79.39887,1004.6,9.869972548504853,24.63140792503165,0.0,21.53458179875053,21.7,284.0,269.8,3.0,6.0
8,2019-07-24 13:46:32.900,146.5,22.7766102446233,1.944771113257511,1.9815721042037242,0.3504336216511575,400.8814075737832,407.9794978116988,0.39204696985712817,153.2,50.508433411694774,15581.505537936973,1.2,16.9,43.66119333333333,-79.39887166666666,1004.5,9.8675944323155,24.622285301648194,0.0,21.536221380690762,21.7,280.5,262.5,3.1,6.1
9,2019-07-24 13:46:33.900,145.9,22.780672307043034,1.9463046395257542,1.9774801078537645,0.0696692714343386,400.8704866412139,407.10859495340065,0.019169738650450248,153.6,50.46559166663394,15667.106519747957,1.2,16.9,43.661195,-79.398875,1004.5,9.8648712150106,24.62716291349325,0.1,21.536933927057163,21.7,275.3,261.9,2.8,5.8
10,2019-07-24 13:46:34.900,145.3,22.784542529944233,1.9451197313049304,1.983303329967,0.15733871303914926,400.6071033506583,407.63276585380544,0.10577612537376252,147.9,50.5187126658978,15553.221172070611,1.2,16.9,43.66119666666667,-79.39887833333333,1004.6,9.867559503074725,24.62868314179344,0.1,21.538163985108184,21.8,279.6,254.7,3.1,5.9
11,2019-07-24 13:46:35.900,144.6,22.789205989956013,1.9475433889917009,1.9814318656757075,0.09784625904572783,401.34496993173997,407.6314993656338,0.15652493997827127,154.3,50.48213148372591,15658.323272805754,1.2,17.0,43.6612,-79.39888166666667,1004.5,9.864192533426877,24.621625592205337,0.0,21.538740935315403,21.8,267.9,257.4,3.0,5.9
12,2019-07-24 13:46:36.900,143.9,22.79537409212973,1.948939726758541,1.9791557033298788,0.07198514961016256,400.60266964519235,407.4948572223825,0.10127899014028112,156.0,50.42808256558556,15648.735519354253,1.2,17.1,43.66120166666666,-79.39888333333333,1004.6,9.866063265362335,24.62465762721201,0.0,21.53827865789241,21.8,277.6,252.1,2.9,5.5
13,2019-07-24 13:46:37.900,143.3,22.79733235089877,1.9436621364689213,1.980510148111453,0.2690536755822137,400.74263525485975,407.4882572697618,0.026629123745894486,154.2,50.51022020142705,15630.377256330923,1.2,17.1,43.66120333333333,-79.39888666666667,1004.6,9.865126020487583,24.62190294730367,0.0,21.54159705269634,21.8,263.9,248.6,2.7,5.6
14,2019-07-24 13:46:38.900,142.5,22.8012048449721,1.9489955847220897,1.9776929046859597,0.17544013468376773,401.5700536513903,406.3916677316674,0.034714764955516696,158.7,50.427074030725365,15698.444408944419,1.2,17.1,43.66120666666666,-79.39889000000002,1004.6,9.865083615523234,24.62646027605945,0.0,21.541106017202612,21.8,276.9,263.3,3.0,6.5
